test_id,wp_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,connection_type,isp_name,is_isp,network_operator_name,manufacturer,device_name,hardware_version,firmware_version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
75372200,5997987,"2019-09-01 00:33:47","37.161.xxx.xxx",6749,509,115,"Turin","Italy","IT",45.0709,7.6858,"Telecom Italia S.p.A.","Italy","IT","Piedmont","21","Collegno",45.079,7.607,3.87928,11,"Iliad Italia","1","Iliad","NOKIA","RM-974_1070","4.1.0.0","02040.00019.14484.24004",1,"Collegno TO, Italy","Collegno","locality","Italy","IT","Piedmont","Metropolitan City of Turin","Collegno","10093"
75372202,5997987,"2019-09-01 00:34:23","37.161.xxx.xxx",5452,2001,133,"Turin","Italy","IT",45.0709,7.6858,"Telecom Italia S.p.A.","Italy","IT","Piedmont","21","Collegno",45.079,7.607,3.87928,11,"Iliad Italia","1","Iliad","NOKIA","RM-974_1070","4.1.0.0","02040.00019.14484.24004",1,"Collegno TO, Italy","Collegno","locality","Italy","IT","Piedmont","Metropolitan City of Turin","Collegno","10093"
75372203,5149114,"2019-09-01 00:35:58","176.59.xxx.xxx",2688,713,151,"Moscow","Russia","RU",55.7517,37.6178,"RETN","Russia","RU","UNKNOWN","??","UNKNOWN",55.738,37.606,1.00225,8,"T2 Mobile LLC","1","Tele2","Microsoft","RM-1116_13914","4.0.3.1","01078.00053.16236.35009",2,"Russia","Russia","country","Russia","RU","","","",""
75372217,6000643,"2019-09-01 00:46:08","151.18.xxx.xxx",8905,17041,82,"Varese","Italy","IT",45.8167,8.8333,"InternetONE","Italy","IT","Lombardy","25","Lonate Pozzolo",45.590,8.760,16.0286,11,"Wind Tre","1","I WIND","NOKIA","RM-875_eu_italy_330","4.4.0.2","3051.50009.1451.1004",1,"Lonate Pozzolo VA, Italy","Lonate Pozzolo","locality","Italy","IT","Lombardy","Province of Varese","Lonate Pozzolo","21015"
75372221,6000643,"2019-09-01 00:46:42","151.18.xxx.xxx",40426,14745,65,"Varese","Italy","IT",45.8167,8.8333,"InternetONE","Italy","IT","Lombardy","25","Lonate Pozzolo",45.590,8.760,16.0286,11,"Wind Tre","1","I WIND","NOKIA","RM-875_eu_italy_330","4.4.0.2","3051.50009.1451.1004",1,"Lonate Pozzolo VA, Italy","Lonate Pozzolo","locality","Italy","IT","Lombardy","Province of Varese","Lonate Pozzolo","21015"
75372223,6000643,"2019-09-01 00:47:04","151.18.xxx.xxx",15421,14630,65,"Varese","Italy","IT",45.8167,8.8333,"InternetONE","Italy","IT","Lombardy","25","Lonate Pozzolo",45.590,8.760,16.0286,11,"Wind Tre","1","I WIND","NOKIA","RM-875_eu_italy_330","4.4.0.2","3051.50009.1451.1004",1,"Lonate Pozzolo VA, Italy","Lonate Pozzolo","locality","Italy","IT","Lombardy","Province of Varese","Lonate Pozzolo","21015"
75372225,6000643,"2019-09-01 00:47:39","151.18.xxx.xxx",4991,16413,70,"Varese","Italy","IT",45.8167,8.8333,"InternetONE","Italy","IT","Lombardy","25","Lonate Pozzolo",45.590,8.760,16.0286,11,"Wind Tre","1","I WIND","NOKIA","RM-875_eu_italy_330","4.4.0.2","3051.50009.1451.1004",1,"Lonate Pozzolo VA, Italy","Lonate Pozzolo","locality","Italy","IT","Lombardy","Province of Varese","Lonate Pozzolo","21015"
75372226,6000643,"2019-09-01 00:48:01","151.18.xxx.xxx",3259,14003,70,"Varese","Italy","IT",45.8167,8.8333,"InternetONE","Italy","IT","Lombardy","25","Lonate Pozzolo",45.590,8.760,16.0286,11,"Wind Tre","1","I WIND","NOKIA","RM-875_eu_italy_330","4.4.0.2","3051.50009.1451.1004",1,"Lonate Pozzolo VA, Italy","Lonate Pozzolo","locality","Italy","IT","Lombardy","Province of Varese","Lonate Pozzolo","21015"
75372241,5568260,"2019-09-01 00:52:53","151.36.xxx.xxx",14038,1146,140,"Venice","Italy","IT",45.4375,12.3358,"APV Investimenti S.p.A.","Italy","IT","Veneto","34","Cavallino",45.480,12.558,11.2094,11,"Wind Tre","1","I WIND","Microsoft","RM-1104_13756","2.1.1.2","01078.00053.16236.35015",1,"Cavallino VE, Italy","Cavallino","locality","Italy","IT","Veneto","Metropolitan City of Venice","Cavallino-Treporti","30013"
75372246,5568260,"2019-09-01 00:54:30","151.36.xxx.xxx",12849,885,79,"Venice","Italy","IT",45.4375,12.3358,"APV Investimenti S.p.A.","Italy","IT","Veneto","34","Cavallino",45.480,12.558,11.2094,11,"Wind Tre","1","I WIND","Microsoft","RM-1104_13756","2.1.1.2","01078.00053.16236.35015",1,"Cavallino VE, Italy","Cavallino","locality","Italy","IT","Veneto","Metropolitan City of Venice","Cavallino-Treporti","30013"
75372254,6048076,"2019-09-01 00:58:54","5.90.xxx.xxx",8971,4363,83,"Chiaravalle","Italy","IT",43.6000,13.3333,"Wispone Srl","Italy","IT","Marche","57","Fano",43.835,13.043,21.8056,8,"Vodafone Italia","1","ho.","NOKIA","RM-976_1098","4.0.1.0","02040.00021.15162.50005",1,"Fano PU, Italy","Fano","locality","Italy","IT","Marche","Province of Pesaro and Urbino","Fano","61032"
75372256,1019495,"2019-09-01 01:00:26","151.43.xxx.xxx",811,18460,117,"Comiso","Italy","IT",36.9362,14.5772,"FreeComADSL","Italy","IT","Sicily","82","Marina di Ragusa",36.783,14.554,10.6422,11,"Wind Tre","1","I WIND","NOKIA","RM-892_eu_italy_290","0.5.0.1","3051.50009.1451.1005",1,"Marina di Ragusa, Province of Ragusa, Italy","Marina di Ragusa","locality","Italy","IT","Sicily","Province of Ragusa","Ragusa","97010"
75372265,5979333,"2019-09-01 01:09:04","85.140.xxx.xxx",24022,12758,93,"Samara","Russia","RU",53.2333,50.1667,"Metromax Group","Russia","RU","Samara Oblast","SAM","Samara",53.181,50.121,4.04923,11,"MTS PJSC","1","MTS RUS","Microsoft","RM-1075_1017","2.1.9.2","02177.00000.15184.36002",2,"Samara, Samara Oblast, Russia","Samara","locality","Russia","RU","Samara Oblast","gorod Samara","","443036"
75372266,5881045,"2019-09-01 01:10:50","37.188.xxx.xxx",11910,8410,78,"Plzen","Czech Republic","CZ",49.7475,13.3775,"PilsFree, z.s","Czech Republic","CZ","Plzeň Region","32","Dolni Bela",49.920,13.262,13.0062,11,"O2 Slovakia, s.r.o.","1","O2-CZ","Microsoft","RM-1116_15169","4.0.3.1","01078.00053.16236.35018",1,"Líté, Czech Republic","Líté","locality","Czech Republic","CZ","Plzeň Region","Plzeň-North District","","331 52"
75372269,5881045,"2019-09-01 01:12:26","78.80.xxx.xxx",24814,8238,78,"Plzen","Czech Republic","CZ",49.7475,13.3775,"ForWiFi s.r.o.","Czech Republic","CZ","Plzeň Region","32","Radejov",49.938,13.276,13.9469,11,"T-Mobile Czech Republic","1","T-Mobile CZ","Microsoft","RM-1116_15169","4.0.3.1","01078.00053.16236.35018",1,"331 01 Dražeň, Czech Republic","Dražeň","locality","Czech Republic","CZ","Plzeň Region","Plzeň-North District","","331 01"
75372272,6038989,"2019-09-01 01:20:30","94.254.xxx.xxx",3091,989,82,"Hajnowka","Poland","PL",52.7333,23.5833,"TVK Hajnowka s.j.","Poland","PL","Podlaskie Voivodeship","PD","Malinniki",52.686,23.243,14.6099,11,"Play","1","PLAY (Orange)","Microsoft","RM-1152_15588","3.0.4.0","01078.00042.16352.50011",1,"17, Poland","Gmina Orla","administrative_area_level_3","Poland","PL","Podlaskie Voivodeship","Bielsk County","Gmina Orla","17"
75372274,6015476,"2019-09-01 01:21:22","92.184.xxx.xxx",57566,8117,68,"Paris","France","FR",48.8742,2.3470,"YanX.eu","France","FR","Île-de-France","IDF","Paris",48.854,2.352,1.40054,11,"Orange France Mobile","1","Orange F","Microsoft","RM-1085_13829","4.0.1.1","01078.00053.16236.35014",2,"Paris, France","Paris","locality","France","FR","Île-de-France","Paris","","75004"
75372280,6003326,"2019-09-01 01:26:25","106.76.xxx.xxx",237,1597,423,"Madanapalle","India","IN",13.5603,78.5036,"IM Broadband","India","IN","Andhra Pradesh","AP","Kadapa",14.484,78.833,67.6696,8,"Idea Cellular","1","Idea","Microsoft","RM-1141_1018","3.0.0.0","02074.10000.15174.44001",1,"Kadapa, Andhra Pradesh, India","Kadapa","locality","India","IN","Andhra Pradesh","Kadapa","","516001"
75372285,6031153,"2019-09-01 01:28:40","46.211.xxx.xxx",7077,2436,99,"Kiev","Ukraine","UA",50.4500,30.5233,"Adamant Ltd.","Ukraine","UA","UNKNOWN","??","UNKNOWN",50.450,30.523,0,8,"Kyivstar PJSC","1","KYIVSTAR","Microsoft","RM-1090_1010","3.0.0.0","02074.00000.15234.28006",2,"Ukraine","Ukraine","country","Ukraine","UA","","","",""
75372287,5951896,"2019-09-01 01:29:48","93.23.xxx.xxx",2204,2912,83,"PARIS","France","FR",48.8742,2.3470,"Stella Telecom","France","FR","UNKNOWN","??","UNKNOWN",48.858,2.338,1.16931,11,"SFR","1","F SFR","Microsoft","RM-1085_12547","4.0.1.1","01078.00053.16236.35035",2,"France","France","country","France","FR","","","",""
75372293,6048442,"2019-09-01 01:36:37","119.160.xxx.xxx",1207,1414,233,"Lahore","Pakistan","PK",31.5395,74.3035,"Zong (CMPak)","Pakistan","PK","Punjab","PB","Lahore",31.418,74.261,8.75674,8,"Mobilink Mobile Internet","1","Jazz","Microsoft","RM-1141_1019","3.0.0.0","02074.10000.15174.44001",1,"Lahore, Pakistan","Lahore","locality","Pakistan","PK","Punjab","Lahore District","",""
75372294,6048466,"2019-09-01 01:37:08","119.160.xxx.xxx",9116,517,83,"Faisalabad","Pakistan","PK",31.4180,73.0790,"Login.Me (PVT) Ltd","Pakistan","PK","Punjab","PB","Faisalabad",31.450,73.150,4.78533,11,"Mobilink Mobile Internet","1","Jazz","NOKIA","RM-974_1080","4.1.0.0","02040.00021.15235.30008",1,"Faisalabad 38000, Pakistan","Faisalabad","locality","Pakistan","PK","Punjab","Faisalabad District","",""
75372296,5978101,"2019-09-01 01:37:37","163.49.xxx.xxx",237,176,131,"Maibara","Japan","JP",35.3167,136.2833,"gatolabo","Japan","JP","Shiga Prefecture","25","Hikone",35.265,136.238,4.38322,11,"Internet Initiative Japan","1","NTT DOCOMO-NTT DOCOMO","MCJ","MADOSMA Q501","1.0.0.0","2.0.0.1",1,"Hikone, Shiga Prefecture, Japan","Hikone","locality","Japan","JP","Shiga Prefecture","","","522-0053"
75372301,5978101,"2019-09-01 01:39:18","163.49.xxx.xxx",181,184,149,"Maibara","Japan","JP",35.3167,136.2833,"gatolabo","Japan","JP","Shiga Prefecture","25","Hikone",35.265,136.238,4.38322,11,"Internet Initiative Japan","1","NTT DOCOMO-NTT DOCOMO","MCJ","MADOSMA Q501","1.0.0.0","2.0.0.1",1,"Hikone, Shiga Prefecture, Japan","Hikone","locality","Japan","JP","Shiga Prefecture","","","522-0053"
75372311,5554959,"2019-09-01 01:48:51","37.165.xxx.xxx",11440,12041,93,"Paris","France","FR",48.8742,2.3470,"SEWAN","France","FR","UNKNOWN","??","UNKNOWN",48.858,2.338,1.16931,8,"Free Mobile SAS","1","Vodafone.de","Microsoft","RM-1073_1004","2.1.4.0","02177.00000.15184.36016",2,"France","France","country","France","FR","","","",""
75372318,6030502,"2019-09-01 01:53:50","109.40.xxx.xxx",1523,12787,81,"Saarbrucken","Germany","DE",49.2500,6.9667,"intersaar GmbH","Germany","DE","Saarland","SL","Saarbrücken",49.218,6.971,2.20431,11,"Vodafone GmbH","1","Vodafone.de","Microsoft","RM-1072_1084","2.1.0.2","02177.00000.15184.36001",1,"Saarbrücken, Germany","Saarbrücken","locality","Germany","DE","Saarland","Saarbrücken","","66117"
75372321,5657998,"2019-09-01 01:55:48","37.157.xxx.xxx",5865,1654,62,"Tallinn","Estonia","EE",59.4339,24.7549,"Tele2 Eesti","Estonia","EE","Harju County","37","Neeme",59.489,25.142,14.1361,11,"Telia Eesti","1","Telia","Microsoft","RM-1085_15217","4.0.1.1","01078.00053.16236.35022",1,"Estonia","Estonia","country","Estonia","EE","","","",""
75372332,3189146,"2019-09-01 01:59:36","89.15.xxx.xxx",6629,5492,65,"Bremen","Germany","DE",53.0833,8.8000,"LWLcom GmbH","Germany","DE","Lower Saxony","NI","Osterholz-Scharmbeck",53.227,8.778,10.0156,11,"O2 Deutschland","1","simply","Microsoft","RM-1065_1015","5.4.0.1","02177.00000.15184.36003",1,"Osterholz-Scharmbeck, Germany","Osterholz-Scharmbeck","locality","Germany","DE","Lower Saxony","","","27711"
75372333,6042518,"2019-09-01 02:01:31","91.253.xxx.xxx",10346,2905,116,"Rome","Italy","IT",41.9000,12.5000,"Wind Tre","Italy","IT","Lazio","62","Belmonte in Sabina",42.322,12.856,34.4893,8,"Wind Tre","1","3 ITA","NOKIA","RM-941_eu_italy_221","3.0.0.0","3058.50000.1445.1007",1,"Rieti, Province of Rieti, Italy","Rieti","administrative_area_level_3","Italy","IT","Lazio","Province of Rieti","Rieti","02100"
75372335,2594416,"2019-09-01 02:02:26","37.161.xxx.xxx",115,1296,448,"Sassari","Italy","IT",40.7968,8.5750,"Telecom Italia S.p.A.","Italy","IT","Sardinia","88","Alghero",40.552,8.319,21.5773,8,"Iliad Italia","1","Iliad","NOKIA","RM-976_1099","3.0.0.0","02040.00021.15162.50004",1,"Alghero SS, Italy","Alghero","locality","Italy","IT","Sardinia","Province of Sassari","Alghero","07041"
75372336,2594416,"2019-09-01 02:04:01","37.161.xxx.xxx",418,490,132,"Sassari","Italy","IT",40.7968,8.5750,"Telecom Italia S.p.A.","Italy","IT","Sardinia","88","Alghero",40.552,8.319,21.5773,8,"Iliad Italia","1","Iliad","NOKIA","RM-976_1099","3.0.0.0","02040.00021.15162.50004",1,"Alghero SS, Italy","Alghero","locality","Italy","IT","Sardinia","Province of Sassari","Alghero","07041"
75372337,6048431,"2019-09-01 02:04:46","91.104.xxx.xxx",980,3849,62,"Budapest","Hungary","HU",47.5000,19.0500,"Telenor Hungary","Hungary","HU","Budapest","BU","Budapest",47.531,19.123,4.07016,8,"Telenor Hungary","1","Telenor HU","HTC","HTC6995LVW","0004","2061.30.30501.605",1,"Budapest, Hungary","Budapest","locality","Hungary","HU","Budapest","Budapest","","1147"
75372341,5895036,"2019-09-01 02:09:55","49.230.xxx.xxx",2173,2068,80,"Bangkok","Thailand","TH",13.7500,100.4833,"CPE_II-RMUTT","Thailand","TH","Bangkok","10","Bangkok",13.708,100.455,3.4264,11,"AIS Mobile","1","AIS","NOKIA","RM-994_apac_laos_thailand_203","2.0.0.0","3058.50000.1424.0002",2,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10150"
75372342,6048189,"2019-09-01 02:10:29","27.246.xxx.xxx",18566,17882,82,"Taipei","Taiwan","TW",25.0374,121.5635,"TAIFO Taiwan","Taiwan","TW","Taipei City","TPE","Taipei",25.033,121.554,0.64793,11,"FarEasTone","1","遠傳電信","Microsoft","RM-1065_1007","5.4.0.1","02177.00000.15184.36002",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","106"
75372343,6047770,"2019-09-01 02:11:09","41.210.xxx.xxx",0,0,176,"Kampala","Uganda","UG",0.3167,32.5833,"Tangerine Uganda Ltd.","Uganda","UG","Central Region","C","Kampala",0.316,32.565,1.21794,8,"MTN Uganda","1","MTN-UGANDA","NOKIA","RM-1017_1055","5.0.4.0","02074.00000.15234.28003",2,"Kampala, Uganda","Kampala","locality","Uganda","UG","Central Region","Kampala","",""
75372346,6047770,"2019-09-01 02:12:16","41.210.xxx.xxx",414,836,81,"Kampala","Uganda","UG",0.3167,32.5833,"Smile Communications","Uganda","UG","Central Region","C","Kampala",0.316,32.565,1.21794,8,"MTN Uganda","1","MTN-UGANDA","NOKIA","RM-1017_1055","5.0.4.0","02074.00000.15234.28003",2,"Kampala, Uganda","Kampala","locality","Uganda","UG","Central Region","Kampala","",""
75372351,6047816,"2019-09-01 02:15:42","187.70.xxx.xxx",6651,2082,102,"Sete Lagoas","Brazil","BR",-19.4574,-44.2417,"HZ TELECOMUNICAçõES E INFORMáTICA LTDA","Brazil","BR","State of Minas Gerais","MG","Baldim",-19.293,-43.958,21.6799,8,"Claro S/A","1","Claro BR","NOKIA","RM-979_1004","4.0.6.0","02040.00021.15053.36003",1,"Baldim, Baldim - MG, Brazil","Baldim","locality","Brazil","BR","State of Minas Gerais","Baldim","","35706-000"
75372352,3189146,"2019-09-01 02:16:15","89.15.xxx.xxx",6445,274,82,"Bremen","Germany","DE",53.0833,8.8000,"LWLcom GmbH","Germany","DE","Lower Saxony","NI","Osterholz-Scharmbeck",53.226,8.777,9.91622,11,"O2 Deutschland","1","simply","Microsoft","RM-1065_1015","5.4.0.1","02177.00000.15184.36003",1,"Osterholz-Scharmbeck, Germany","Osterholz-Scharmbeck","locality","Germany","DE","Lower Saxony","","","27711"
75372357,5831323,"2019-09-01 02:19:03","46.211.xxx.xxx",741,636,130,"Kiev","Ukraine","UA",50.4501,30.5234,"ISP OmegaTelecom","Ukraine","UA","Kyiv city","30","Kyiv",50.454,30.523,0.318708,8,"Kyivstar PJSC","1","KYIVSTAR","NOKIA","RM-994_eu_belarus_russia_207","2.0.0.0","3058.50000.1424.0004",2,"Kiev, Ukraine, 02000","Kiev","locality","Ukraine","UA","Kyiv city","Kyiv City","","02000"
75372358,5949236,"2019-09-01 02:20:41","188.230.xxx.xxx",0,0,1005,"Ljubljana","Slovenia","SI",46.0500,14.5000,"T-2 d.o.o.","Slovenia","SI","Ljubljana","061","Ljubljana",46.075,14.556,3.24331,6,"T-2 Access Network","1","MOBITEL-T-2","Microsoft","RM-1089_1024","3.0.0.0","02074.00000.15234.28007",1,"Ljubljana, Slovenia","Ljubljana","locality","Slovenia","SI","Ljubljana","Ljubljana","","1000"
75372359,6048185,"2019-09-01 02:21:36","103.7.xxx.xxx",0,0,280,"Ho Chi Minh","VN","VN",10.7500,106.6667,"Vietnamobile","Vietnam","VN","Ho Chi Minh","SG","Ho Chi Minh City",10.814,106.643,4.70557,8,"Vietnamobile Telecommunications Joint Stock Compan","1","Vietnamobile","NOKIA","RM-1018_1006","5.0.0.0","01068.00023.14391.54104",2,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","",""
75372368,5984234,"2019-09-01 02:28:00","83.149.xxx.xxx",1673,790,116,"Klintsy","Russian Federation","RU",52.7667,32.2333,"ООО «Новые Технологии»","Russia","RU","Bryansk Oblast","BRY","Novozybkov",52.532,31.938,20.3777,8,"PJSC MegaFon","1","MegaFon","NOKIA","RM-978_1061","4.0.4.0","02040.00021.15235.50004",1,"Novozybkov, Bryanskaya oblast', Russia","Novozybkov","locality","Russia","RU","Bryansk Oblast","gorod Novozybkov","","243020"
75372369,5984234,"2019-09-01 02:28:56","83.149.xxx.xxx",2885,1754,116,"Klintsy","Russian Federation","RU",52.7667,32.2333,"ООО «Новые Технологии»","Russia","RU","Bryansk Oblast","BRY","Novozybkov",52.532,31.938,20.3777,8,"PJSC MegaFon","1","MegaFon","NOKIA","RM-978_1061","4.0.4.0","02040.00021.15235.50004",1,"Novozybkov, Bryanskaya oblast', Russia","Novozybkov","locality","Russia","RU","Bryansk Oblast","gorod Novozybkov","","243020"
75372374,6042061,"2019-09-01 02:36:19","197.182.xxx.xxx",8722,9873,100,"Nairobi","Kenya","KE",-1.2833,36.8167,"Zuku","Kenya","KE","Kiambu","13","Ruiru",-1.105,36.933,14.7122,8,"Safaricom","1","Safaricom","Microsoft","RM-1064_1013","4.3.0.1","02166.00000.15103.05001",1,"Ruiru, Kenya","Ruiru","locality","Kenya","KE","Kiambu","","",""
75372376,6048470,"2019-09-01 02:36:50","182.0.xxx.xxx",17910,14839,65,"Bandung","Indonesia","ID",-6.9167,107.6000,"Neuviz","Indonesia","ID","West Java","JB","Ngamprah",-6.817,107.254,24.6786,11,"Telkomsel","1","IND TELKOMSEL","NOKIA","RM-875_apac_malaysia_970","4.4.0.2","3051.50009.1451.1008",1,"Ciranjang, Ciranjang, Cianjur Regency, West Java, Indonesia","Ciranjang","administrative_area_level_4","Indonesia","ID","West Java","Cianjur Regency","Ciranjang, Ciranjang","43282"
75372378,6048471,"2019-09-01 02:38:44","190.104.xxx.xxx",7474,3663,82,"Asuncion","Paraguay","PY",-25.2667,-57.6667,"Núcleo S.A., Personal","Paraguay","PY","Central","11","Capiatá",-25.349,-57.473,13.3955,8,"Núcleo S.A.","1","Personal","NOKIA","RM-917_nam_usa_100","1.0.0.0","3058.50000.1439.0042",1,"Capiata, Paraguay","Capiata","locality","Paraguay","PY","Central","","",""
75372380,6048471,"2019-09-01 02:39:39","190.104.xxx.xxx",5224,1671,66,"Asuncion","Paraguay","PY",-25.2667,-57.6667,"Núcleo S.A., Personal","Paraguay","PY","Central","11","Capiatá",-25.349,-57.473,13.3955,8,"Núcleo S.A.","1","Personal","NOKIA","RM-917_nam_usa_100","1.0.0.0","3058.50000.1439.0042",1,"Capiata, Paraguay","Capiata","locality","Paraguay","PY","Central","","",""
75372381,6048471,"2019-09-01 02:40:28","190.104.xxx.xxx",6751,3824,83,"Asunción","Paraguay","PY",-25.2667,-57.6667,"Copaco S.A","Paraguay","PY","Central","11","Capiatá",-25.349,-57.473,13.3955,8,"Núcleo S.A.","1","Personal","NOKIA","RM-917_nam_usa_100","1.0.0.0","3058.50000.1439.0042",1,"Capiata, Paraguay","Capiata","locality","Paraguay","PY","Central","","",""
75372382,6048471,"2019-09-01 02:41:02","190.104.xxx.xxx",6316,3783,83,"Asuncion","Paraguay","PY",-25.2667,-57.6667,"TEISA","Paraguay","PY","Central","11","Capiatá",-25.349,-57.473,13.3955,8,"Núcleo S.A.","1","Personal","NOKIA","RM-917_nam_usa_100","1.0.0.0","3058.50000.1439.0042",1,"Capiata, Paraguay","Capiata","locality","Paraguay","PY","Central","","",""
75372383,6048471,"2019-09-01 02:41:37","190.104.xxx.xxx",5903,3287,82,"Asuncion","Paraguay","PY",-25.2667,-57.6667,"Telecel SA","Paraguay","PY","Central","11","Capiatá",-25.349,-57.473,13.3955,8,"Núcleo S.A.","1","Personal","NOKIA","RM-917_nam_usa_100","1.0.0.0","3058.50000.1439.0042",1,"Capiata, Paraguay","Capiata","locality","Paraguay","PY","Central","","",""
